observaciones;U;V;T
14;4;-10;3008
0;1;-8;3006
0;-12;1;3010
11;-12;8;2974
0;-4;7;2925
0;0;12;2902
0;-3;-12;2931
0;-11;-17;2938
41;-14;-7;2992
39;-3;-7;2996
166;11;0;2997
0;-9;3;2967
0;-4;-4;2923
0;-1;4;2915
0;-9;-7;2926
33;-22;-7;2935
154;-17;-2;2980
52;-5;3;2979
100;8;7;3002
0;-7;6;2971
4;-5;1;2922
6;-3;-9;2902
23;-1;-12;2939
55;-1;-16;2945
6;-17;2;2996
28;-9;6;2995
15;-6;13;2998
5;-12;0;2952
0;-9;-3;2901
0;4;-9;2884
7;0;-12;2910
0;-3;-16;2905
18;-8;-12;2953
18;0;12;2966
3;-10;-13;3001
2;-13;-12;2950
0;10;-27;2905
4;4;-23;2895
11;8;-28;2921
0;-2;-19;2923
0;-1;-8;2982
0;14;14;2959
1;-12;-6;2987
0;-1;-17;2937
0;-6;-10;2906
2;13;-25;2885
12;8;-36;2916
1;4;-32;2920
0;0;-26;2965
32;-3;-40;2994
82;-1;-29;2998
0;-1;-22;2969
0;3;-26;2932
0;-3;-19;2927
19;-4;-24;2971
183;-12;-22;2977
85;-16;4;3052
170;-10;8;3055
15;-14;11;3039
0;-9;9;2986
19;-5;8;2924
109;4;3;2909
53;4;-11;2929
14;-2;-31;2934
2;-15;-44;3010
6;5;-25;3033
107;13;-3;3030
36;1;-5;2979
4;6;10;2920
43;-8;-3;2909
88;-7;-13;2935
94;-9;-15;2934
133;-13;-8;3003
84;4;7;3003
3;-3;9;2991
5;-8;-6;2941
0;3;-17;2889
0;12;-16;2876
0;12;-26;2892
95;0;-35;2904
329;-9;-40;2973
107;0;-29;2974
13;3;-20;2967
2;6;-20;2914
0;17;-17;2862
25;9;-18;2843
495;6;-31;2863
641;1;-45;2869
684;-3;-58;2933
575;9;-33;2955
75;10;-18;2955
19;5;-25;2898
40;8;-29;2864
221;10;-31;2851
398;9;-40;2873
479;3;-39;2867
693;6;-43;2915
651;18;-19;2915
200;4;-4;2960
14;1;-12;2921
0;12;-25;2879
41;7;-48;2867
277;2;-41;2898
56;-1;-35;2905
150;16;10;2996
609;26;44;3012
597;-2;41;3010
473;-18;21;2954
264;-13;6;2895
199;-10;-1;2882
57;-1;-19;2894
13;-2;-20;2917
16;-7;-15;3002
365;-1;7;3001
174;6;4;2985
82;9;0;2944
3;11;-20;2890
127;9;-21;2884
8;7;-16;2933
42;21;8;2948
133;17;16;3016
296;8;35;3022
314;2;34;3002
95;7;26;2976
25;12;13;2919
93;10;22;2924
0;-4;21;2950
0;-26;14;2948
32;-13;7;3010
49;3;21;3016
114;19;19;3009
18;8;17;2967
84;15;13;2909
123;14;15;2899
87;4;19;2931
49;-8;11;2933
32;-19;1;2985
515;-5;9;3003
51;2;10;2995
58;-8;11;2950
43;4;1;2887
68;0;-14;2868
179;6;-16;2892
7;-1;-27;2902
6;-12;-24;2947
14;-1;-8;2970
8;2;-3;2964
0;-3;-7;2931
0;9;-17;2881
3;8;-21;2865
0;5;-22;2895
0;-1;-21;2895
30;-1;-20;2929
3;7;8;2925
0;-3;4;2942
34;-11;9;2926
423;2;-13;2888
33;1;-15;2869
46;-2;-20;2893
120;-9;-26;2906
262;-14;-22;2952
222;-11;10;2950
8;-13;12;2962
21;-10;-8;2928
0;0;-18;2879
5;1;-18;2863
61;-1;-26;2887
136;1;-38;2888
20;-2;-32;2972
132;2;19;2999
145;0;27;2986
144;-6;16;2935
80;-8;1;2887
86;-7;-4;2864
234;-2;-13;2884
1;-8;-14;2889
1;-9;-22;2950
0;8;-4;2945
22;10;2;2939
0;7;-7;2893
0;3;-20;2867
0;3;-20;2863
8;-4;6;2879
114;17;7;2887
137;11;9;2926
385;8;15;2944
98;18;17;2934
21;1;18;2957
136;19;19;2928
248;13;23;2912
271;-2;29;2946
433;2;3;2937
250;6;-3;2968
75;45;12;3013
155;20;22;3013
35;-6;15;2956
30;-3;8;2896
0;-6;3;2869
0;5;-13;2888
0;-3;-26;2901
0;-17;-31;2966
5;1;-13;2982
107;3;-8;2980
23;-6;-12;2935
0;6;-24;2893
43;3;-22;2878
35;3;-19;2903
8;-3;-18;2915
0;-4;-20;2986
0;7;6;2874
1;0;18;2904
25;-17;14;2895
43;-10;8;2952
46;-6;21;2942
60;-3;28;2962
87;-13;21;2910
1;-4;-7;2880
2;0;-12;2853
19;5;-1;2877
0;-4;-10;2868
0;-5;0;2925
152;-12;-2;2921
169;-9;7;2931
15;-6;9;2893
5;0;-9;2869
0;2;6;2868
0;-9;5;2872
8;-17;1;2882
80;-2;4;2914
433;4;27;2932
57;-4;22;2981
2;15;16;2932
29;14;16;2883
32;8;17;2869
34;12;22;2904
492;5;-1;2891
423;-27;-6;2980
56;-11;26;2973
104;-24;25;2962
7;-13;14;2937
4;-11;19;2876
50;-15;16;2882
372;-28;18;2905
455;-32;9;2916
437;-51;0;2985
468;-45;15;2984
158;-43;11;2960
120;-36;10;2926
161;-25;10;2874
436;-26;12;2868
548;-29;7;2892
368;-33;8;2910
545;-48;3;2966
339;-43;13;2977
224;-31;19;2967
378;-25;18;2923
355;-23;23;2868
495;-22;17;2868
513;-21;21;2889
377;-39;19;2911
566;-54;12;2973
476;-47;24;2988
202;-36;26;2980
142;-23;18;2935
63;-16;13;2884
31;-18;14;2888
76;-22;13;2917
285;-34;18;2940
177;-23;11;3001
52;-17;16;2997
22;-21;15;2988
9;-10;13;2951
0;-1;9;2888
0;0;16;2875
0;-5;19;2897
7;-8;1;2918
0;-7;5;2968
3;4;20;2972
73;9;28;2950
96;16;40;2885
120;-1;26;2881
345;-13;10;2874
435;-15;25;2888
11;7;44;2897
321;11;36;2935
610;24;41;2974
803;9;50;2975
327;-3;33;2968
482;-1;29;2904
130;-9;26;2901
48;2;16;2929
146;7;26;2948
0;17;-6;3004
49;39;19;3039
371;11;23;3018
420;3;19;2974
106;-1;21;2888
69;-13;22;2889
65;-19;21;2916
32;8;8;2917
7;24;20;2978
110;26;5;3027
35;-5;16;3012
11;-1;12;2963
1;2;4;2886
1;6;-5;2884
0;5;-14;2890
0;1;-23;2913
0;-22;-19;2993
46;-14;-5;2997
26;-8;2;2986
6;-5;0;2932
1;3;-10;2857
0;8;-16;2840
0;11;-26;2874
265;4;-35;2888
508;-7;-37;2964
342;-6;-35;2967
194;1;-24;2973
41;7;-22;2922
0;15;-23;2857
1;16;-25;2848
122;15;-35;2862
201;8;-36;2875
116;-2;-30;2960
24;-1;-20;2952
51;-2;-17;2942
0;3;-21;2885
0;10;-28;2824
84;10;-39;2809
366;8;-50;2825
834;10;-55;2828
951;5;-63;2900
934;6;-61;2905
945;5;-52;2908
728;4;-59;2859
825;10;-50;2812
916;10;-45;2798
696;8;-50;2820
759;5;-55;2821
717;1;-70;2892
578;4;-72;2899
609;8;-67;2905
786;6;-61;2859
862;16;-61;2814
750;20;-53;2808
976;21;-43;2819
795;13;-45;2827
665;1;-46;2906
280;-2;-36;2908
152;-4;-25;2906
22;2;-26;2849
0;18;-30;2788
167;13;-36;2778
528;9;-48;2794
941;2;-61;2803
813;-3;-70;2858
902;-3;-73;2866
846;1;-68;2869
857;7;-71;2827
762;19;-61;2797
977;15;-56;2781
927;15;-55;2798
967;13;-60;2801
967;3;-63;2869
984;4;-60;2887
905;6;-48;2894
906;7;-56;2844
832;8;-53;2820
885;8;-62;2821
864;7;-51;2851
904;6;-53;2850
874;1;-58;2919
902;2;-45;2943
424;8;-37;2956
247;1;-34;2926
2;6;-28;2890
0;10;-16;2881
0;14;-24;2905
29;2;-32;2909
342;0;-39;2978
39;-1;-17;2978
0;-7;-10;2986
0;-5;-6;2957
0;1;-20;2900
0;7;-14;2880
0;10;-23;2904
10;-1;-23;2919
11;-20;-14;2988
6;-18;4;2992
5;-18;11;2979
45;-6;-7;2938
0;9;-13;2869
3;6;-19;2853
0;13;-21;2878
9;7;-27;2888
96;-11;-28;2960
99;-16;-26;2961
12;-12;-13;2953
1;-6;-13;2907
0;4;-21;2852
16;4;-30;2838
419;13;-43;2860
834;5;-35;2862
917;-8;-48;2940
591;-6;-39;2941
434;-1;-34;2938
524;-1;-22;2898
24;9;3;2810
0;8;1;2794
0;5;-12;2830
0;-4;-15;2836
13;-13;-18;2915
2;2;-17;2913
25;6;-14;2899
17;7;-5;2846
30;19;-12;2782
393;9;-16;2773
406;5;-33;2785
714;4;-45;2799
887;4;-51;2852
771;12;-39;2863
653;11;-32;2858
650;7;-34;2830
370;6;-32;2798
111;7;-25;2789
141;4;-22;2805
87;3;-38;2833
178;40;-14;2893
387;58;7;2904
332;48;6;2896
584;50;4;2854
559;51;4;2840
441;38;9;2851
382;30;19;2889
566;37;34;2905
826;29;43;2960
851;37;53;2967
819;21;45;2954
265;22;30;2915
250;21;18;2863
254;16;13;2837
9;19;8;2862
162;28;-6;2876
312;43;-6;2924
558;51;4;2937
323;47;7;2924
394;51;9;2897
472;32;16;2859
237;31;8;2854
108;27;10;2879
354;16;-3;2868
241;12;-15;2943
238;28;-9;2948
256;20;-2;2937
71;9;-8;2883
151;10;-14;2831
142;6;-19;2830
151;8;-23;2844
290;1;-30;2879
393;12;-31;2944
394;55;3;2975
270;35;6;2958
87;20;-10;2949
158;11;5;2899
59;24;-3;2904
194;12;14;2937
189;8;28;2950
287;27;18;2999
529;63;27;3014
745;16;35;3017
389;10;24;2973
224;20;19;2887
339;14;20;2888
107;-13;12;2912
198;-9;-8;2906
53;2;-15;2986
33;18;5;3000
81;9;13;2982
37;17;16;2945
102;17;16;2880
97;-11;24;2864
141;-26;12;2886
79;-19;3;2893
69;-2;7;2951
72;9;18;2975
94;-3;10;2976
12;2;5;2934
0;18;4;2867
39;18;14;2868
91;-8;20;2891
47;-16;16;2897
153;-4;14;2952
102;7;27;2966
55;13;30;2948
60;-5;27;2896
236;-11;21;2852
269;-2;12;2841
312;-3;-9;2840
68;-6;-16;2851
23;-15;-17;2897
1;-2;-15;2901
0;14;-12;2908
1;23;0;2890
37;15;13;2855
149;-4;14;2846
148;-7;8;2879
45;-14;10;2873
63;-6;-7;2925
9;16;10;2927
78;19;6;2934
9;20;4;2881
0;16;15;2849
0;0;21;2831
0;-7;3;2860
0;0;-4;2865
313;-17;10;2896
275;-10;20;2940
26;-15;28;2937
35;-12;19;2898
113;-14;13;2834
123;-9;8;2821
69;-3;-13;2839
4;-3;-17;2849
0;-10;-16;2920
5;8;-11;2926
14;3;0;2910
1;-6;-5;2869
0;-1;-8;2818
1;2;-14;2803
0;-1;-14;2821
0;-4;-13;2825
28;-16;-22;2901
20;11;-6;2908
49;-1;2;2888
2;-6;-3;2832
0;9;3;2785
0;2;-9;2764
1;-3;-17;2783
316;-4;-37;2791
480;5;-44;2859
232;42;-14;2882
187;33;-3;2872
140;30;-7;2834
129;27;-2;2797
157;32;0;2803
172;22;5;2832
53;23;7;2841
178;27;-4;2889
416;48;31;2923
861;36;41;2918
665;14;28;2857
142;3;16;2834
23;-1;7;2814
47;0;-3;2837
1;-1;-18;2836
1;-8;-19;2875
53;9;1;2904
13;9;13;2914
6;14;8;2866
68;14;9;2849
149;17;13;2828
58;17;4;2856
29;18;8;2849
42;9;20;2898
113;-26;23;2909
220;-30;24;2904
122;-21;20;2881
10;-5;8;2840
11;-3;16;2832
51;-20;18;2855
156;-17;16;2854
255;-30;16;2895
237;-30;23;2918
230;-25;19;2910
12;-14;14;2873
56;-7;11;2833
215;6;12;2822
410;-3;25;2844
552;-25;24;2850
444;-32;23;2875
575;-46;34;2906
644;-47;24;2884
645;-38;17;2872
346;-25;12;2827
240;-26;16;2827
138;-34;11;2853
322;-29;6;2871
382;-30;16;2936
199;-5;33;2954
265;4;36;2944
198;-1;22;2894
126;1;21;2819
90;-17;10;2822
81;-11;2;2828
41;-6;-10;2848
1;-3;-16;2921
12;22;3;2930
304;14;17;2915
74;-1;8;2865
15;3;14;2786
138;4;6;2764
29;11;-10;2789
5;4;-28;2801
62;-2;-32;2876
83;6;-32;2879
85;10;-34;2865
238;14;-42;2821
800;21;-44;2769
917;21;-46;2762
964;20;-46;2774
914;16;-52;2781
973;12;-58;2839
906;10;-65;2858
948;10;-63;2854
834;9;-75;2814
924;16;-59;2791
869;18;-59;2774
769;18;-61;2788
658;16;-64;2781
264;9;-74;2833
395;12;-75;2853
848;14;-70;2858
939;12;-75;2819
665;17;-61;2804
747;15;-62;2791
715;8;-60;2820
830;9;-56;2812
670;3;-60;2861
872;7;-60;2883
893;6;-54;2887
933;11;-50;2845
834;12;-43;2815
750;14;-43;2812
747;15;-41;2838
870;13;-39;2838
729;4;-45;2903
412;5;-43;2912
128;2;-36;2906
5;8;-29;2863
126;12;-29;2815
474;14;-34;2811
366;10;-32;2826
448;11;-42;2834
547;1;-43;2899
358;-3;-43;2907
47;-4;-35;2908
0;-2;-19;2880
0;0;-14;2818
36;4;-15;2816
120;-2;-14;2836
176;-2;-15;2845
118;-20;-9;2915
233;-30;4;2912
345;-29;7;2902
282;-15;10;2855
133;-14;7;2833
291;-12;4;2823
113;-10;7;2844
297;-26;8;2834
200;-26;8;2879
204;-27;14;2881
98;-26;-2;2859
167;-24;-7;2856
346;-12;-14;2824
651;-11;-16;2810
479;-12;-17;2833
575;-27;-7;2823
287;-22;-7;2856
230;-33;17;2850
142;-34;11;2851
167;-22;11;2813
233;-24;7;2822
319;-21;5;2810
244;-12;12;2825
92;-11;21;2820
479;6;25;2839
799;17;49;2871
764;20;52;2886
720;25;34;2852
317;19;25;2820
341;19;20;2800
296;12;18;2818
54;15;3;2821
101;6;2;2885
194;24;0;2891
262;17;6;2876
10;9;-1;2831
0;10;-6;2787
0;10;-18;2776
10;8;-26;2804
77;1;-25;2817
105;-4;-18;2873
70;15;-8;2886
92;20;7;2881
70;3;3;2841
56;11;0;2755
5;18;-9;2756
87;15;-19;2778
24;5;-26;2785
42;-1;-35;2843
101;7;-40;2857
390;12;-37;2847
740;13;-45;2802
920;17;-44;2782
938;18;-49;2771
949;16;-55;2780
934;12;-59;2776
885;12;-62;2801
986;10;-66;2820
926;5;-63;2829
997;13;-66;2794
484;4;-36;2809
80;3;-23;2800
138;2;-15;2815
136;3;-17;2814
0;12;-10;2867
69;16;16;2885
11;10;17;2879
17;5;7;2854
1;20;6;2800
5;20;8;2795
193;27;1;2823
377;31;-1;2834
267;33;0;2878
53;53;25;2896
353;52;30;2877
555;60;48;2860
706;33;51;2843
817;22;63;2840
802;21;45;2856
848;7;29;2863
451;18;33;2911
186;4;42;2933
260;-4;34;2911
30;-1;21;2870
6;-1;17;2783
33;-3;15;2772
19;4;6;2784
0;0;-12;2798
0;-9;-13;2890
44;-2;-26;2887
44;2;-28;2876
77;9;-31;2815
374;10;-29;2764
0;12;-34;2760
422;15;-37;2778
940;12;-43;2778
925;2;-52;2841
864;9;-51;2852
663;10;-40;2853
745;10;-41;2804
702;11;-27;2749
449;15;-21;2752
248;18;-17;2762
50;8;-25;2771
56;-1;-28;2845
17;7;-28;2842
65;9;-25;2825
270;11;-37;2768
623;16;-35;2719
888;11;-42;2719
908;10;-43;2734
895;2;-51;2740
950;2;-53;2787
961;13;-53;2808
772;17;-58;2806
602;13;-70;2766
415;15;-64;2772
545;13;-59;2764
375;8;-55;2791
427;-2;-29;2816
137;9;-12;2887
490;22;33;2910
265;19;27;2903
97;8;19;2862
115;13;12;2791
212;11;11;2794
138;12;10;2813
26;-3;12;2827
109;-1;8;2893
144;11;19;2890
83;10;20;2881
11;12;6;2844
22;14;4;2795
83;15;7;2784
57;13;2;2805
1;5;7;2800
102;10;-2;2854
127;10;-4;2851
20;4;-7;2851
0;7;-7;2820
0;11;4;2801
35;15;7;2784
63;19;10;2805
7;15;6;2797
251;18;2;2833
108;14;4;2838
37;9;6;2836
63;4;8;2808
34;-6;-7;2803
9;12;1;2785
56;0;-7;2801
30;2;-2;2804
107;-1;-8;2839
40;33;-1;2873
257;33;2;2873
96;34;0;2841
361;26;4;2793
249;29;1;2810
316;37;6;2836
629;37;11;2869
758;41;48;2929
781;12;53;2951
436;-10;38;2934
270;-8;28;2863
274;9;25;2817
255;-6;23;2817
177;-6;18;2831
44;-9;7;2835
4;-17;-2;2893
6;-7;4;2895
23;-13;6;2878
6;-5;-4;2839
0;1;-15;2795
0;0;-15;2774
0;4;-17;2802
1;14;-17;2817
61;17;-11;2885
215;35;-5;2892
388;25;0;2890
314;31;-5;2843
155;26;4;2791
287;29;3;2807
444;29;1;2829
136;30;-3;2834
221;15;-11;2885
153;28;1;2904
196;22;1;2896
153;30;-4;2855
81;25;0;2822
148;25;7;2824
67;21;9;2840
175;22;16;2855
516;22;21;2914
211;40;19;2930
354;34;18;2914
234;22;14;2863
354;25;9;2814
336;26;5;2821
344;25;8;2843
288;25;16;2859
514;25;31;2910
904;35;46;2925
339;12;31;2890
266;29;23;2860
185;28;19;2831
141;35;15;2829
148;36;17;2841
597;30;16;2833
277;31;7;2871
654;42;-2;2879
572;41;1;2861
299;37;8;2802
388;38;11;2788
467;31;12;2784
556;24;12;2807
561;40;9;2806
472;37;8;2851
568;58;3;2858
497;41;2;2847
599;57;-9;2801
912;56;2;2786
725;61;1;2789
766;39;8;2817
392;36;2;2825
140;35;4;2885
598;51;33;2906
360;42;34;2899
255;44;24;2861
645;29;26;2830
745;34;38;2848
667;34;40;2862
731;31;42;2872
820;20;46;2916
843;27;60;2929
895;25;56;2914
430;17;36;2868
366;20;23;2820
414;28;23;2818
541;25;26;2821
190;23;28;2837
240;24;21;2895
188;38;29;2905
276;35;26;2889
344;36;17;2832
251;38;17;2824
615;42;15;2806
703;46;8;2830
651;60;12;2826
813;58;9;2871
492;84;15;2873
465;97;31;2877
660;83;37;2827
738;47;30;2816
563;65;39;2811
530;69;58;2834
239;69;52;2820
585;47;50;2843
727;55;44;2847
862;52;38;2841
555;61;26;2812
582;46;26;2795
392;40;15;2777
712;42;8;2793
610;42;4;2791
756;38;-4;2820
573;64;-6;2830
692;52;-6;2834
599;58;-2;2792
474;39;5;2791
129;35;3;2771
377;26;4;2791
114;22;2;2784
98;21;-5;2824
127;30;6;2839
100;27;7;2832
81;27;10;2802
9;22;14;2787
72;24;19;2774
313;26;24;2795
376;21;24;2793
445;18;24;2842
469;26;39;2845
139;30;44;2839
216;36;39;2790
418;21;28;2786
726;11;28;2777
142;13;32;2799
350;7;26;2792
516;20;34;2829
738;35;52;2842
655;28;49;2848
632;26;36;2803
383;15;34;2802
363;-7;27;2790
215;2;30;2809
162;-20;21;2795
218;-29;20;2814
70;-24;28;2826
104;-7;32;2828
205;1;30;2802
367;0;29;2803
400;-21;28;2797
473;-20;24;2816
438;-23;17;2806
410;-30;24;2836
110;-26;37;2879
122;-15;42;2846
67;-7;23;2815
113;-9;22;2787
151;-13;18;2779
31;-21;2;2816
0;-8;-7;2811
14;-8;-6;2868
102;7;1;2894
10;6;2;2883
23;3;-5;2831
8;11;-9;2761
0;10;-12;2785
0;5;-20;2789
22;2;-18;2809
128;-2;-17;2884
141;8;-10;2903
1;9;-6;2895
27;13;2;2842
19;12;4;2756
1;11;4;2756
63;14;3;2776
152;4;-9;2815
107;-13;-9;2867
174;-5;-16;2887
254;-1;-14;2883
409;6;-9;2836
341;8;-15;2770
425;10;-19;2780
399;10;-18;2815
485;13;-23;2809
551;5;-25;2868
518;4;-34;2888
514;11;-33;2881
515;11;-29;2825
704;18;-26;2783
770;19;-26;2778
831;12;-34;2795
656;12;-35;2784
804;7;-46;2833
772;12;-62;2848
797;21;-60;2851
717;25;-61;2793
160;32;-45;2797
173;41;-53;2784
808;37;-54;2816
696;32;-45;2798
818;30;-42;2814
679;37;-56;2801
798;36;-68;2803
710;35;-57;2793
819;73;-42;2805
833;80;-29;2790
822;76;-12;2800
523;83;0;2791
870;65;5;2810
730;72;-11;2814
442;53;-21;2818
220;53;-11;2772
143;40;-5;2751
352;33;-7;2753
626;23;-21;2770
567;19;-34;2769
490;17;-37;2812
645;50;-12;2839
839;55;1;2857
356;45;9;2806
583;34;6;2798
480;31;3;2792
647;33;-3;2815
742;42;4;2819
233;40;10;2863
55;29;-8;2874
98;26;-19;2858
206;30;3;2806
313;28;4;2792
413;33;-12;2785
512;38;-18;2819
493;34;-16;2794
804;41;-12;2830
548;43;-27;2823
370;33;-10;2800
208;33;-3;2776
365;27;1;2733
467;27;-20;2731
588;29;-33;2746
635;29;-41;2744
427;26;-40;2775
488;39;-57;2786
304;45;-58;2771
235;39;-62;2740
231;31;-48;2745
302;35;-59;2732
296;27;-52;2737
50;35;-53;2724
68;31;-59;2736
0;24;-101;2732
21;22;-101;2728
120;23;-106;2701
231;29;-106;2718
670;43;-95;2724
678;42;30;2770
514;71;38;2766
756;82;60;2808
17;82;65;2810
402;93;67;2841
622;60;53;2799
468;74;43;2805
593;78;47;2780
708;71;47;2793
653;73;38;2784
0;64;30;2816
0;65;30;2814
339;63;35;2804
263;40;20;2758
613;40;19;2764
652;46;16;2745
702;41;19;2763
645;49;19;2744
802;48;18;2788
711;43;11;2775
405;39;6;2792
402;34;5;2739
300;33;4;2708
197;31;5;2699
92;23;3;2725
162;22;-8;2719
139;15;-23;2777
70;18;-23;2777
324;15;-24;2780
360;7;-19;2735
375;14;-16;2711
382;11;-27;2703
289;11;-31;2721
407;7;-36;2709
259;6;-37;2748
242;11;-43;2762
477;13;-41;2746
365;11;-35;2714
328;17;-36;2683
347;20;-32;2681
303;26;-27;2696
239;21;-38;2699
160;18;-47;2737
273;20;-52;2752
155;27;-50;2752
118;30;-63;2723
205;24;-67;2735
233;19;-72;2731
599;15;-70;2752
528;5;-58;2738
111;-3;-44;2736
138;-25;-26;2743
344;-49;0;2735
383;-59;5;2728
306;-53;8;2728
173;-41;14;2735
137;-4;20;2746
108;8;24;2742
292;20;22;2759
531;47;28;2766
253;41;43;2753
288;29;29;2733
213;28;21;2721
235;33;17;2715
416;30;13;2722
353;25;8;2719
326;22;-3;2766
97;25;-23;2779
277;21;-34;2781
567;22;-40;2726
595;20;-41;2733
465;20;-46;2717
360;20;-44;2731
448;17;-44;2719
331;7;-40;2751
74;3;-39;2765
9;8;-34;2765
24;10;-37;2726
13;11;-28;2721
65;13;-31;2708
176;8;-37;2725
183;8;-34;2721
111;-9;-28;2759
1;-9;-29;2766
0;-4;-22;2772
24;5;-29;2721
54;10;-25;2706
110;12;-27;2708
189;17;-37;2722
204;16;-41;2723
123;19;-41;2753
0;19;-41;2759
0;5;-22;2769
0;15;1;2740
0;19;9;2741
0;19;8;2719
0;19;6;2724
0;27;7;2728
5;31;2;2770
21;51;9;2777
4;52;13;2779
5;69;16;2746
39;52;12;2736
103;49;16;2733
172;48;15;2744
128;60;8;2748
245;67;7;2774
184;101;-3;2785
160;109;8;2784
519;103;56;2756
392;68;54;2749
409;77;29;2763
163;64;81;2805
249;55;72;2780
898;41;53;2816
758;64;35;2822
598;77;26;2816
572;84;24;2773
494;78;26;2776
427;79;30;2773
330;72;44;2785
883;64;54;2782
557;45;39;2830
700;71;33;2823
706;72;31;2821
428;71;25;2771
604;52;18;2770
770;65;18;2760
803;66;19;2786
785;53;9;2788
792;59;6;2824
767;76;13;2835
848;80;9;2838
749;85;19;2806
674;67;22;2811
628;69;24;2799
363;52;25;2800
628;52;20;2802
483;37;14;2831
423;27;10;2843
391;28;8;2822
704;31;10;2784
485;27;11;2739
93;20;13;2739
3;4;3;2738
55;2;-16;2750
0;-12;-17;2821
20;-6;-14;2838
0;0;-8;2838
25;18;-1;2777
23;14;3;2732
7;15;4;2744
0;12;4;2759
0;8;13;2765
4;-10;10;2839
24;2;-14;2866
117;7;-17;2856
481;22;-16;2793
589;21;-16;2757
664;20;-28;2768
360;18;-28;2764
608;17;-17;2753
592;5;-20;2802
404;4;-27;2817
171;4;-19;2811
279;16;-14;2743
147;11;-25;2726
118;7;-27;2723
315;12;-28;2751
227;7;-31;2743
148;-4;-26;2800
185;-2;-23;2819
229;-1;-17;2819
368;9;-16;2759
240;8;1;2725
82;7;3;2725
130;19;-8;2738
133;11;-17;2740
14;-3;-19;2798
0;3;-13;2827
43;7;-8;2816
240;14;-15;2750
273;16;-19;2716
394;12;-17;2721
165;14;-20;2736
91;8;-24;2738
112;0;-26;2798
155;5;-24;2824
322;8;-15;2818
225;15;-17;2757
442;23;-2;2710
581;14;-22;2732
370;23;-14;2739
333;22;-16;2743
52;10;-28;2801
94;17;-15;2833
200;10;-23;2815
76;22;-4;2766
99;23;2;2719
18;21;8;2728
0;13;3;2712
2;4;4;2730
0;-6;-2;2787
0;-3;-5;2816
0;1;-10;2809
12;16;-20;2751
380;13;-25;2728
611;16;-35;2734
344;18;-37;2742
745;19;-41;2739
623;17;-39;2793
375;11;-43;2798
544;10;-39;2802
589;16;-42;2747
586;14;-32;2725
403;15;-40;2719
465;13;-45;2726
743;14;-43;2720
852;10;-47;2760
452;9;-50;2773
723;8;-49;2772
835;13;-53;2725
872;14;-46;2724
853;16;-51;2707
877;13;-47;2722
848;16;-52;2710
476;17;-46;2745
545;16;-54;2757
327;14;-50;2763
520;18;-50;2731
681;15;-38;2733
646;15;-46;2722
757;12;-45;2735
459;11;-34;2732
309;1;-32;2777
68;-4;-32;2808
0;-3;-15;2803
0;6;-9;2766
0;5;-14;2734
1;11;3;2720
0;13;6;2734
12;13;5;2742
1;2;14;2796
43;9;1;2839
42;15;6;2814
76;20;8;2758
73;12;5;2734
0;12;4;2723
0;14;3;2736
